HEADER,Raster Number, RF Direction,Polarization,Date,Time,
,0,Tx,Horizontal,2019/03/13,16:44:58
BS1,BS2,RT1
-10,-10,0.0
AO settings - B2AO0,...,B2AO31,B1AO0,...,B1AO31 
2.8010,2.3095,5.8183,0.6437,3.8653,3.4733,3.2132,1.5288,3.6697,1.3968,3.4660,4.7084,2.2577,2.2737,1.6186,0.1757,5.7644,2.1059,2.5940,0.8820,0.9684,1.1690,4.5157,5.2557,2.5654,2.9544,1.4950,2.2084,5.7939,2.5308,0.7750,1.5193,5.2077,4.8064,4.7818,4.2549,1.3184,4.1070,4.3914,1.7931,2.9452,5.2345,2.1536,4.9335,0.5984,1.8171,1.3235,3.2385,1.9866,1.7833,2.1510,2.9001,5.6687,5.6525,5.8479,3.7128,4.9432,0.9743,0.7073,2.4969,3.9856,5.1438,4.6600,1.6686
Freq,S11dB,S11deg,S21dB,S21deg,S12dB,S12deg,S22dB,S22deg
7.57000000000E+10,-1.40661260590E+01,+6.23986135012E+01,-2.67081212710E+01,-1.72311876638E+02,-2.68393878828E+01,-1.46572822788E+02,-1.05816465016E+01,-1.39099634564E+02
7.57500000000E+10,-1.40276962600E+01,+5.83658825425E+01,-2.67947151194E+01,+1.73277121385E+02,-2.68583846551E+01,-1.60692934099E+02,-1.06394056234E+01,-1.63051958920E+02
7.58000000000E+10,-1.40647302407E+01,+5.42769016045E+01,-2.70298995136E+01,+1.58978541056E+02,-2.72638386133E+01,-1.75506831289E+02,-1.06490280140E+01,+1.73356431172E+02
7.58500000000E+10,-1.40181560440E+01,+5.01232610303E+01,-2.72685052063E+01,+1.45058313325E+02,-2.76318111055E+01,+1.70240574927E+02,-1.07015998296E+01,+1.50420321287E+02
7.59000000000E+10,-1.40087736871E+01,+4.60282587301E+01,-2.76267468300E+01,+1.32264996501E+02,-2.86775318735E+01,+1.59388735756E+02,-1.06743303089E+01,+1.28475050812E+02
7.59500000000E+10,-1.39467724607E+01,+4.18505472303E+01,-2.81162410169E+01,+1.20400313672E+02,-2.88310709871E+01,+1.48036263874E+02,-1.06456080956E+01,+1.07470660836E+02
7.60000000000E+10,-1.39173644980E+01,+3.76566173477E+01,-2.86340580394E+01,+1.09273298818E+02,-2.93518749325E+01,+1.37196638116E+02,-1.05929475440E+01,+8.69733072147E+01
7.60500000000E+10,-1.39649490294E+01,+3.34532710534E+01,-2.93322309536E+01,+9.94956147467E+01,-2.97430825553E+01,+1.27797022615E+02,-1.05625007868E+01,+6.68589190695E+01
7.61000000000E+10,-1.40572410587E+01,+2.96173998166E+01,-2.99140220128E+01,+9.12826281259E+01,-3.02839017445E+01,+1.16790868852E+02,-1.05767933974E+01,+4.69104438374E+01
7.61500000000E+10,-1.41768818782E+01,+2.58366375845E+01,-3.02079286392E+01,+8.29866259966E+01,-3.09130764681E+01,+1.11405619172E+02,-1.05818857651E+01,+2.72792730603E+01
7.62000000000E+10,-1.43627127285E+01,+2.21448786734E+01,-3.03825443414E+01,+7.57606449667E+01,-3.04099845789E+01,+1.04057760346E+02,-1.06202355406E+01,+7.83191189238E+00
7.62500000000E+10,-1.45381216172E+01,+1.91782734181E+01,-3.03825639275E+01,+6.78663684128E+01,-3.06145088796E+01,+9.43771898433E+01,-1.06854575578E+01,-1.14554480071E+01
